Booking.date,Credit,Debit,Balance
02.11.2024,,100,72803
30.10.2024,,10,72903
30.10.2024,,,72913
30.10.2024,,,72913
30.10.2024,,,72913
30.10.2024,,,72913
30.10.2024,,,72913
30.10.2024,,,72913
30.10.2024,,,72913
30.10.2024,,,72913
30.10.2024,,,72913
28.10.2024,,800,72913
27.10.2024,,295,74513
27.10.2024,,70,74808
26.10.2024,,100,74878
23.10.2024,4999,,74978
19.10.2024,,70,69979
09.10.2024,,,70049
09.10.2024,,,70049
09.10.2024,,,70049
09.10.2024,,300,70049
08.10.2024,,,70349
07.10.2024,,5,70349
30.09.2024,,10,70354
30.09.2024,,,70364
30.09.2024,,,70364
30.09.2024,,,70364
30.09.2024,,,70364
30.09.2024,,,70364
30.09.2024,,,70364
30.09.2024,,,70364
30.09.2024,,10,70364
30.09.2024,,5,70374
28.09.2024,,800,70379
25.09.2024,4999,,71979
24.09.2024,,45,66980
24.09.2024,,10,67025
23.09.2024,,5,67035
23.09.2024,,5,67040
22.09.2024,,295,67045
21.09.2024,,35,67340
21.09.2024,,10,67375
17.09.2024,,5,67385
16.09.2024,,85,67390
15.09.2024,,35,67475
04.09.2024,,130,67510
31.08.2024,,10,67640
31.08.2024,,10,67650
31.08.2024,,,67660
31.08.2024,,,67660
31.08.2024,,,67660
31.08.2024,,,67660
31.08.2024,,,67660
31.08.2024,,,67660
31.08.2024,,,67660
31.08.2024,,,67660
31.08.2024,,,67660
28.08.2024,,800,67660
27.08.2024,,70,69260
26.08.2024,,5,69330
25.08.2024,4999,,69335
24.08.2024,,105,64336
24.08.2024,,35,64441
21.08.2024,,295,64476
20.08.2024,,15,64771
20.08.2024,,5,64786
20.08.2024,,5,64791
19.08.2024,,5,64796
18.08.2024,,10,64801
17.08.2024,,100,64811
14.08.2024,,5,64911
12.08.2024,,350,64916
12.08.2024,,15,65266
12.08.2024,,5,65281
12.08.2024,,5,65286
07.08.2024,,90,65291
07.08.2024,,80,65381
06.08.2024,,50,65461
06.08.2024,,15,65511
05.08.2024,,350,65526
05.08.2024,,25,65876
04.08.2024,,45,65901
04.08.2024,,25,65946
04.08.2024,,5,65971
31.07.2024,,100,65976
31.07.2024,,40,66076
31.07.2024,,10,66116
31.07.2024,,,66126
31.07.2024,,,66126
31.07.2024,,,66126
31.07.2024,,,66126
31.07.2024,,,66126
31.07.2024,,,66126
31.07.2024,,,66126
31.07.2024,,5,66126
30.07.2024,,5,66131
29.07.2024,,5,66136
29.07.2024,,5,66141
28.07.2024,,800,66146
27.07.2024,,400,67746
27.07.2024,,5,68146
24.07.2024,,100,68151
24.07.2024,4999,,68251
23.07.2024,,295,63252
23.07.2024,,5,63547
22.07.2024,,5,63552
22.07.2024,,5,63557
21.07.2024,,25,63562
21.07.2024,,25,63587
20.07.2024,,75,63612
20.07.2024,,20,63687
20.07.2024,,5,63707
16.07.2024,,65,63712
16.07.2024,,5,63777
15.07.2024,,25,63782
15.07.2024,,10,63807
15.07.2024,,5,63817
15.07.2024,,5,63822
03.07.2024,,90,63827
03.07.2024,,15,63917
02.07.2024,,55,63932
02.07.2024,,20,63987
01.07.2024,,10,64007
30.06.2024,,10,64017
30.06.2024,,,64027
30.06.2024,,,64027
30.06.2024,,,64027
30.06.2024,,,64027
30.06.2024,,,64027
30.06.2024,,,64027
30.06.2024,,,64027
26.06.2024,,800,64027
25.06.2024,,295,65627
25.06.2024,4999,,65922
24.06.2024,,55,60923
24.06.2024,,50,60978
24.06.2024,,40,61028
24.06.2024,,5,61068
22.06.2024,,230,61073
22.06.2024,,25,61303
15.06.2024,,90,61328
15.06.2024,,35,61418
15.06.2024,,5,61453
08.06.2024,,60,61458
02.06.2024,,295,61518
01.06.2024,,5,61813
29.05.2024,,10,61818
29.05.2024,,,61828
29.05.2024,,,61828
29.05.2024,,,61828
29.05.2024,,,61828
29.05.2024,,,61828
28.05.2024,,800,61828
25.05.2024,,80,63428
25.05.2024,,20,63508
25.05.2024,4999,,63528
15.05.2024,,95,58529
11.05.2024,,10,58624
08.05.2024,,65,58634
08.05.2024,,30,58699
30.04.2024,,110,58729
30.04.2024,,10,58839
30.04.2024,,,58849
30.04.2024,,,58849
30.04.2024,,,58849
30.04.2024,,,58849
30.04.2024,,,58849
30.04.2024,,,58849
30.04.2024,,,58849
28.04.2024,,800,58849
27.04.2024,,295,60449
27.04.2024,,70,60744
24.04.2024,4999,,60814
23.04.2024,,5,55815
21.04.2024,,295,55820
21.04.2024,,90,56115
09.04.2024,,365,56205
06.04.2024,,800,56570
31.03.2024,,10,57370
31.03.2024,,,57380
31.03.2024,,,57380
31.03.2024,,,57380
31.03.2024,,,57380
31.03.2024,,,57380
31.03.2024,,,57380
31.03.2024,,,57380
30.03.2024,,295,57380
27.03.2024,,800,57675
25.03.2024,4999,,59275
24.03.2024,,110,54276
23.03.2024,,295,54386
11.03.2024,,5,54681
09.03.2024,,15,54686
09.03.2024,,5,54701
06.03.2024,,400,54706
04.03.2024,,200,55106
03.03.2024,,5,55306
02.03.2024,,25,55311
28.02.2024,,800,55336
28.02.2024,,10,56936
28.02.2024,,10,56946
28.02.2024,,,56956
28.02.2024,,,56956
28.02.2024,,,56956
28.02.2024,,,56956
28.02.2024,,,56956
28.02.2024,,,56956
28.02.2024,,,56956
28.02.2024,,,56956
28.02.2024,,,56956
28.02.2024,,,56956
26.02.2024,,15,56956
26.02.2024,,5,56971
26.02.2024,,5,56976
25.02.2024,,270,56981
25.02.2024,,5,57251
25.02.2024,,5,57256
25.02.2024,4999,,57261
24.02.2024,,20,52262
24.02.2024,,5,52282
21.02.2024,,5,52287
20.02.2024,,500,52292
19.02.2024,,5,52792
19.02.2024,,5,52797
17.02.2024,,80,52802
17.02.2024,,45,52882
17.02.2024,,10,52927
11.02.2024,,40,52937
11.02.2024,,35,52977
11.02.2024,,30,53012
11.02.2024,,20,53042
10.02.2024,,20,53062
10.02.2024,,20,53082
07.02.2024,,30,53102
05.02.2024,,3280,53132
05.02.2024,,5,56412
04.02.2024,,5,56417
03.02.2024,,200,56422
03.02.2024,,80,56622
03.02.2024,,25,56702
03.02.2024,,10,56727
31.01.2024,,25,56737
31.01.2024,,10,56762
31.01.2024,,,56772
31.01.2024,,,56772
31.01.2024,,,56772
31.01.2024,,,56772
31.01.2024,,,56772
31.01.2024,,5,56772
29.01.2024,,5,56777
29.01.2024,,5,56782
29.01.2024,,5,56787
28.01.2024,,800,56792
27.01.2024,,15,58392
24.01.2024,,5,58407
24.01.2024,,5,58412
24.01.2024,4999,,58417
22.01.2024,,5,53418
20.01.2024,,60,53423
20.01.2024,,45,53483
20.01.2024,,25,53528
15.01.2024,,15,53553
15.01.2024,,5,53568
14.01.2024,,10,53573
13.01.2024,,55,53583
13.01.2024,,15,53638
13.01.2024,,5,53653
13.01.2024,,5,53658
13.01.2024,,5,53663
13.01.2024,,5,53668
10.01.2024,,5,53673
10.01.2024,,5,53678
09.01.2024,,5,53683
09.01.2024,,5,53688
06.01.2024,,25,53693
02.01.2024,,10,53718
31.12.2023,,10,53728
31.12.2023,,,53738
31.12.2023,,,53738
31.12.2023,,,53738
31.12.2023,,,53738
31.12.2023,,,53738
31.12.2023,,,53738
31.12.2023,,,53738
31.12.2023,,,53738
31.12.2023,,,53738
27.12.2023,,800,53738
27.12.2023,,115,55338
27.12.2023,,20,55453
27.12.2023,,5,55473
26.12.2023,,160,55478
26.12.2023,,90,55638
26.12.2023,,90,55728
24.12.2023,,295,55818
24.12.2023,,65,56113
24.12.2023,,55,56178
24.12.2023,,25,56233
23.12.2023,,75,56258
23.12.2023,,,56333
23.12.2023,4999,,56333
20.12.2023,,20,51334
20.12.2023,,5,51354
19.12.2023,,335,51359
19.12.2023,,295,51694
19.12.2023,,235,51989
18.12.2023,,55,52224
17.12.2023,,475,52279
17.12.2023,,105,52754
17.12.2023,,50,52859
17.12.2023,,5,52909
17.12.2023,,5,52914
16.12.2023,,85,52919
16.12.2023,,20,53004
16.12.2023,,5,53024
16.12.2023,,,53029
13.12.2023,,145,53029
13.12.2023,,5,53174
13.12.2023,,5,53179
12.12.2023,,10,53184
10.12.2023,,5,53194
10.12.2023,,5,53199
10.12.2023,,5,53204
09.12.2023,,45,53209
09.12.2023,,25,53254
05.12.2023,,105,53279
05.12.2023,,10,53384
05.12.2023,,5,53394
05.12.2023,,5,53399
04.12.2023,,5,53404
04.12.2023,,5,53409
03.12.2023,,110,53414
03.12.2023,,10,53524
03.12.2023,,5,53534
02.12.2023,,600,53539
02.12.2023,,285,54139
02.12.2023,,45,54424
29.11.2023,,10,54469
29.11.2023,,,54479
29.11.2023,,,54479
29.11.2023,,,54479
29.11.2023,,,54479
29.11.2023,,,54479
29.11.2023,,,54479
29.11.2023,,,54479
29.11.2023,,5,54479
28.11.2023,,800,54484
28.11.2023,,10,56084
28.11.2023,,5,56094
27.11.2023,,260,56099
27.11.2023,,5,56359
26.11.2023,,5,56364
26.11.2023,,5,56369
25.11.2023,,10,56374
25.11.2023,,10,56384
25.11.2023,4999,,56394
21.11.2023,,20,51395
21.11.2023,,5,51415
21.11.2023,,5,51420
20.11.2023,,15,51425
19.11.2023,,5,51440
18.11.2023,,400,51445
18.11.2023,,10,51845
18.11.2023,,5,51855
18.11.2023,,5,51860
18.11.2023,,5,51865
15.11.2023,,5,51870
14.11.2023,,5,51875
13.11.2023,,10,51880
11.11.2023,,35,51890
11.11.2023,,20,51925
08.11.2023,,375,51945
08.11.2023,,5,52320
06.11.2023,,300,52325
06.11.2023,,200,52625
06.11.2023,,20,52825
06.11.2023,,5,52845
05.11.2023,,55,52850
05.11.2023,,5,52905
04.11.2023,,30,52910
04.11.2023,,10,52940
04.11.2023,,10,52950
01.11.2023,,5,52960
01.11.2023,,5,52965
31.10.2023,,10,52970
31.10.2023,,,52980
31.10.2023,,,52980
31.10.2023,,,52980
31.10.2023,,,52980
31.10.2023,,,52980
30.10.2023,,5,52980
29.10.2023,,5,52985
28.10.2023,,30,52990
28.10.2023,,5,53020
28.10.2023,,5,53025
25.10.2023,4999,,53030
24.10.2023,,20,48031
24.10.2023,,5,48051
23.10.2023,,5,48056
23.10.2023,,5,48061
21.10.2023,,30,48066
21.10.2023,,5,48096
21.10.2023,,5,48101
18.10.2023,,5,48106
16.10.2023,,260,48111
16.10.2023,,5,48371
15.10.2023,,5,48376
14.10.2023,,4800,48381
14.10.2023,,335,53181
14.10.2023,,75,53516
14.10.2023,,55,53591
14.10.2023,,20,53646
14.10.2023,,10,53666
11.10.2023,,5,53676
08.10.2023,,35,53681
07.10.2023,,70,53716
07.10.2023,,45,53786
07.10.2023,,30,53831
04.10.2023,,5,53861
02.10.2023,,10,53866
01.10.2023,,10,53876
01.10.2023,,5,53886
30.09.2023,,2000,53891
30.09.2023,,25,55891
30.09.2023,,15,55916
30.09.2023,,10,55931
30.09.2023,,,55941
30.09.2023,,,55941
30.09.2023,,,55941
30.09.2023,,,55941
30.09.2023,,,55941
30.09.2023,,,55941
30.09.2023,,,55941
30.09.2023,,5,55941
30.09.2023,,5,55946
30.09.2023,,5,55951
30.09.2023,,5,55956
27.09.2023,,20,55961
26.09.2023,,100,55981
25.09.2023,4999,,56081
23.09.2023,,220,51082
23.09.2023,,5,51302
23.09.2023,,5,51307
23.09.2023,4999,,51312
20.09.2023,,260,46313
19.09.2023,,15,46573
19.09.2023,,5,46588
17.09.2023,,10,46593
17.09.2023,,5,46603
17.09.2023,,5,46608
17.09.2023,,5,46613
16.09.2023,,335,46618
16.09.2023,,100,46953
16.09.2023,,80,47053
16.09.2023,,65,47133
13.09.2023,,5,47198
12.09.2023,,40,47203
10.09.2023,,5,47243
09.09.2023,,5,47248
09.09.2023,,5,47253
06.09.2023,,10,47258
04.09.2023,,5,47268
04.09.2023,,5,47273
03.09.2023,,245,47278
03.09.2023,,195,47523
03.09.2023,,190,47718
03.09.2023,,20,47908
03.09.2023,,10,47928
02.09.2023,,50,47938
02.09.2023,,25,47988
30.08.2023,,15,48013
30.08.2023,,15,48028
30.08.2023,,10,48043
30.08.2023,,,48053
30.08.2023,,,48053
30.08.2023,,,48053
30.08.2023,,,48053
30.08.2023,,,48053
30.08.2023,,,48053
30.08.2023,,,48053
30.08.2023,,5,48053
30.08.2023,,5,48058
30.08.2023,,5,48063
29.08.2023,,500,48068
28.08.2023,,60,48568
28.08.2023,,15,48628
28.08.2023,,10,48643
27.08.2023,,25,48653
27.08.2023,,5,48678
27.08.2023,,5,48683
27.08.2023,,5,48688
26.08.2023,,120,48693
26.08.2023,,50,48813
26.08.2023,,5,48863
23.08.2023,,20,48868
23.08.2023,,5,48888
23.08.2023,,5,48893
23.08.2023,4999,,48898
21.08.2023,,50,43899
21.08.2023,,5,43949
21.08.2023,,5,43954
20.08.2023,,20,43959
20.08.2023,,10,43979
19.08.2023,,260,43989
19.08.2023,,45,44249
16.08.2023,,335,44294
16.08.2023,,40,44629
16.08.2023,,5,44669
15.08.2023,,15,44674
15.08.2023,,5,44689
14.08.2023,,35,44694
14.08.2023,,5,44729
13.08.2023,,25,44734
12.08.2023,,160,44759
12.08.2023,,20,44919
12.08.2023,,10,44939
12.08.2023,,5,44949
12.08.2023,,5,44954
12.08.2023,,5,44959
12.08.2023,,5,44964
09.08.2023,,5,44969
09.08.2023,,5,44974
09.08.2023,,5,44979
08.08.2023,,5,44984
08.08.2023,,5,44989
07.08.2023,,5,44994
06.08.2023,,500,44999
06.08.2023,,200,45499
06.08.2023,,5,45699
06.08.2023,,5,45704
05.08.2023,,100,45709
05.08.2023,,50,45809
05.08.2023,,15,45859
05.08.2023,,10,45874
05.08.2023,,5,45884
31.07.2023,,45,45889
31.07.2023,,15,45934
31.07.2023,,10,45949
31.07.2023,,,45959
31.07.2023,,,45959
31.07.2023,,,45959
31.07.2023,,,45959
31.07.2023,,,45959
31.07.2023,,5,45959
30.07.2023,,5,45964
30.07.2023,,5,45969
29.07.2023,,20,45974
29.07.2023,,10,45994
29.07.2023,,10,46004
26.07.2023,,10,46014
26.07.2023,,5,46024
25.07.2023,,5,46029
25.07.2023,4999,,46034
22.07.2023,,35,41035
22.07.2023,,5,41070
22.07.2023,,5,41075
19.07.2023,,5,41080
18.07.2023,,5,41085
17.07.2023,,260,41090
17.07.2023,,120,41350
17.07.2023,,5,41470
15.07.2023,,85,41475
15.07.2023,,10,41560
15.07.2023,,10,41570
12.07.2023,,5,41580
11.07.2023,,60,41585
10.07.2023,,5,41645
10.07.2023,,5,41650
09.07.2023,,335,41655
09.07.2023,,5,41990
08.07.2023,,50,41995
08.07.2023,,10,42045
08.07.2023,,5,42055
05.07.2023,,5,42060
